MSSV,FullName,ClassCode,DateOfBirth,Hometown,Gender,AdmissionMethod,AdmissionScore,Email,PhoneNumber,Address,Major,Department,AcademicStatus,EnrollmentYear,GPA,AccumulatedCredits,Advisor
20256203,Do Duc Linh,KHMT02-K68,01/07/2004,TP HCM,Nu,Diem thi THPT,21,20256203@sis.hust.edu.vn,0928825740,So 11 Pho Chua Boc - TP HCM,Cong nghe thong tin,Truong CNTT&TT,Bao luu,2022,3.49,150,Le Van C
20256204,Hoang Duy Long,KHMT01-K67,19/02/2007,Quang Ninh,Nu,Danh gia nang luc,28.1,20256204@sis.hust.edu.vn,0986720662,So 128 Pho Chua Boc - Quang Ninh,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2025,4,16,Le Van C
20256205,Le Quoc Quan,HTTT01-K68,09/08/2004,Ha Tinh,Nam,Diem thi THPT,23.5,20256205@sis.hust.edu.vn,0918341449,So 117 Pho Chua Boc - Ha Tinh,He thong thong tin,Truong CNTT&TT,Bao luu,2022,3.73,17,Hoang Duc E
20256206,Do Quoc Trang,DTVT01-K68,04/10/2007,Thai Binh,Nu,Danh gia nang luc,24.8,20256206@sis.hust.edu.vn,0989174923,So 140 Pho Chua Boc - Thai Binh,Dien tu vien thong,Khoa Vien thong,Canh cao,2025,3.56,112,Pham Minh D
20256207,Duong Hai Anh,HTTT01-K68,22/01/2007,Thai Nguyen,Nu,Tuyen thang,26.1,20256207@sis.hust.edu.vn,0999810360,So 19 Pho Chua Boc - Thai Nguyen,Ky thuat may tinh,Khoa Dien tu,Dang hoc,2025,3.2,131,Hoang Duc E
20256208,Bui Duc Phuc,DTVT01-K68,28/09/2007,Thai Nguyen,Nu,Diem thi THPT,27.3,20256208@sis.hust.edu.vn,0966374551,So 120 Pho Chua Boc - Thai Nguyen,Dien tu vien thong,Khoa Vien thong,Canh cao,2025,3.4,24,Nguyen Van A
20256209,Ngo Ngoc Viet,CNPM02-K67,13/06/2007,Thai Binh,Nu,Tuyen thang,21.1,20256209@sis.hust.edu.vn,0966410355,So 121 Pho Chua Boc - Thai Binh,Dien tu vien thong,Khoa Vien thong,Canh cao,2025,2.1,34,Tran Thi B
20256210,Nguyen Duy Hanh,ATTT03-K68,03/04/2004,Quang Ninh,Nu,Danh gia nang luc,29.2,20256210@sis.hust.edu.vn,0928021977,So 114 Pho Chua Boc - Quang Ninh,An toan thong tin,Truong CNTT&TT,Dang hoc,2022,1.87,46,Tran Thi B
20256211,Le Quoc Quan,CTTT02-K68,25/11/2007,Ha Tinh,Nu,Diem thi THPT,28,20256211@sis.hust.edu.vn,0965895532,So 7 Pho Chua Boc - Ha Tinh,Ky thuat may tinh,Khoa Dien tu,Dang hoc,2025,2.35,131,Pham Minh D
20256212,Nguyen Minh Cuong,ATTT03-K68,06/02/2007,Quang Nam,Nam,Hoc ba,20.7,20256212@sis.hust.edu.vn,0993408544,So 30 Pho Chua Boc - Quang Nam,Ky thuat may tinh,Khoa Dien tu,Dang hoc,2025,1.71,43,Le Van C
20256213,Hoang Hai Anh,CNPM01-K68,21/03/2007,Thai Nguyen,Nam,Tuyen thang,24.9,20256213@sis.hust.edu.vn,0933319219,So 108 Pho Chua Boc - Thai Nguyen,Khoa hoc may tinh,Truong CNTT&TT,Canh cao,2025,1.44,20,Hoang Duc E
20256214,Duong Hai Binh,HTTT01-K68,13/06/2004,Quang Nam,Nu,Hoc ba,25.1,20256214@sis.hust.edu.vn,0984372859,So 23 Pho Chua Boc - Quang Nam,Dien tu vien thong,Khoa Vien thong,Dang hoc,2022,1.07,48,Nguyen Van A
20256215,Ngo Quang Yen,CNPM01-K68,24/11/2006,Quang Ninh,Nu,Diem thi THPT,20.6,20256215@sis.hust.edu.vn,0979909018,So 41 Pho Chua Boc - Quang Ninh,Dien tu vien thong,Khoa Vien thong,Canh cao,2024,3.16,110,Nguyen Van A
20256216,Tran Tuan Yen,DTVT01-K68,02/12/2007,Hai Phong,Nu,Tuyen thang,27.6,20256216@sis.hust.edu.vn,0980109754,So 94 Pho Chua Boc - Hai Phong,Ky thuat may tinh,Khoa Dien tu,Dang hoc,2025,3.08,64,Hoang Duc E
20256217,Do Anh Cuong,HTTT01-K68,04/11/2007,TP HCM,Nu,Danh gia nang luc,29.9,20256217@sis.hust.edu.vn,0936352701,So 25 Pho Chua Boc - TP HCM,Cong nghe thong tin,Truong CNTT&TT,Canh cao,2025,2.68,148,Hoang Duc E
20256218,Hoang Van Hai,DTVT01-K68,10/04/2007,Can Tho,Nu,Hoc ba,21.2,20256218@sis.hust.edu.vn,0913074427,So 41 Pho Chua Boc - Can Tho,Dien tu vien thong,Khoa Vien thong,Dang hoc,2025,1.35,148,Le Van C
20256219,Do Ngoc Vy,CNPM02-K67,10/06/2006,Can Tho,Nam,Tuyen thang,21.4,20256219@sis.hust.edu.vn,0948122638,So 88 Pho Chua Boc - Can Tho,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2024,1.3,110,Tran Thi B
20256220,Ly Quoc Oanh,DTVT01-K68,28/10/2007,Hue,Nam,Diem thi THPT,24.8,20256220@sis.hust.edu.vn,0939288346,So 70 Pho Chua Boc - Hue,An toan thong tin,Truong CNTT&TT,Dang hoc,2025,2.81,119,Le Van C
20256221,Duong Huu Phuc,CTTT02-K68,05/03/2007,Quang Ninh,Nu,Danh gia nang luc,24.6,20256221@sis.hust.edu.vn,0982842049,So 32 Pho Chua Boc - Quang Ninh,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2025,3.23,121,Tran Thi B
20256222,Duong Quang Hai,CNPM02-K67,15/06/2005,Bac Ninh,Nam,Danh gia nang luc,26.2,20256222@sis.hust.edu.vn,0913598237,So 10 Pho Chua Boc - Bac Ninh,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2023,3.93,42,Hoang Duc E
20256223,Bui Quoc Phuong,HTTT01-K68,24/01/2006,TP HCM,Nam,Hoc ba,28,20256223@sis.hust.edu.vn,0959224472,So 20 Pho Chua Boc - TP HCM,Khoa hoc may tinh,Truong CNTT&TT,Canh cao,2024,3.8,28,Pham Minh D
20256224,Ly Minh Quan,CNPM02-K67,25/01/2005,Nghe An,Nam,Danh gia nang luc,25.5,20256224@sis.hust.edu.vn,0914911519,So 141 Pho Chua Boc - Nghe An,Dien tu vien thong,Khoa Vien thong,Bao luu,2023,3.86,76,Nguyen Van A
20256225,Bui Hai Mai,CNPM02-K67,05/11/2005,Bac Ninh,Nu,Tuyen thang,23.5,20256225@sis.hust.edu.vn,0946604802,So 150 Pho Chua Boc - Bac Ninh,Cong nghe thong tin,Truong CNTT&TT,Canh cao,2023,2.73,53,Le Van C
20256226,Do Xuan Vy,KHMT01-K67,11/01/2005,Da Nang,Nu,Tuyen thang,24.1,20256226@sis.hust.edu.vn,0944801450,So 94 Pho Chua Boc - Da Nang,Khoa hoc may tinh,Truong CNTT&TT,Canh cao,2023,3.64,93,Nguyen Van A
20256227,Ngo Thi Oanh,KHMT01-K67,15/12/2005,Hue,Nu,Danh gia nang luc,20.7,20256227@sis.hust.edu.vn,0970576730,So 144 Pho Chua Boc - Hue,Dien tu vien thong,Khoa Vien thong,Dang hoc,2023,1.56,115,Pham Minh D
20256228,Vu Anh Yen,KHMT02-K68,18/07/2004,Da Nang,Nu,Tuyen thang,28.8,20256228@sis.hust.edu.vn,0914164468,So 112 Pho Chua Boc - Da Nang,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2022,3.71,142,Nguyen Van A
20256229,Bui Thanh Hung,ATTT03-K68,18/05/2004,Thanh Hoa,Nam,Tuyen thang,22.5,20256229@sis.hust.edu.vn,0913040029,So 112 Pho Chua Boc - Thanh Hoa,Ky thuat may tinh,Khoa Dien tu,Canh cao,2022,3.36,70,Hoang Duc E
20256230,Ly Xuan Dung,HTTT01-K68,23/07/2004,Thanh Hoa,Nam,Tuyen thang,27.4,20256230@sis.hust.edu.vn,0958147077,So 121 Pho Chua Boc - Thanh Hoa,He thong thong tin,Truong CNTT&TT,Bao luu,2022,3.88,3,Hoang Duc E
20256231,Nguyen Thanh Dung,DTVT01-K68,08/11/2004,Da Nang,Nam,Tuyen thang,29.7,20256231@sis.hust.edu.vn,0984325303,So 98 Pho Chua Boc - Da Nang,Cong nghe thong tin,Truong CNTT&TT,Canh cao,2022,1.87,21,Le Van C
20256232,Dang Minh Binh,CTTT02-K68,12/08/2007,Hue,Nam,Tuyen thang,24.6,20256232@sis.hust.edu.vn,0953157939,So 83 Pho Chua Boc - Hue,Ky thuat may tinh,Khoa Dien tu,Dang hoc,2025,2.87,92,Le Van C
20256233,Ho Thi Khoa,ATTT03-K68,16/06/2004,Quang Ninh,Nu,Danh gia nang luc,25.4,20256233@sis.hust.edu.vn,0934949529,So 49 Pho Chua Boc - Quang Ninh,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2022,3.2,135,Tran Thi B
20256234,Ho Anh Son,ATTT03-K68,15/09/2007,Bac Ninh,Nam,Tuyen thang,20.5,20256234@sis.hust.edu.vn,0937310903,So 39 Pho Chua Boc - Bac Ninh,He thong thong tin,Truong CNTT&TT,Dang hoc,2025,1.13,16,Nguyen Van A
20256235,Tran Thi Hai,KHMT02-K68,22/07/2004,Thanh Hoa,Nu,Diem thi THPT,24.4,20256235@sis.hust.edu.vn,0916497420,So 30 Pho Chua Boc - Thanh Hoa,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2022,3.9,52,Nguyen Van A
20256236,Ly Tuan Phong,CNPM02-K67,27/03/2007,Nam Dinh,Nam,Hoc ba,20.9,20256236@sis.hust.edu.vn,0994457564,So 115 Pho Chua Boc - Nam Dinh,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2025,1.71,30,Nguyen Van A
20256237,Bui Thanh Binh,DTVT01-K68,07/10/2007,Ha Tinh,Nu,Tuyen thang,27.3,20256237@sis.hust.edu.vn,0931701208,So 124 Pho Chua Boc - Ha Tinh,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2025,3.03,126,Le Van C
20256238,Hoang Quang Binh,KHMT02-K68,03/07/2007,Bac Ninh,Nu,Hoc ba,26.1,20256238@sis.hust.edu.vn,0910910776,So 128 Pho Chua Boc - Bac Ninh,An toan thong tin,Truong CNTT&TT,Bao luu,2025,2.02,36,Nguyen Van A
20256239,Ho Hai Phong,HTTT01-K68,19/10/2007,Da Nang,Nu,Diem thi THPT,26.7,20256239@sis.hust.edu.vn,0916573156,So 107 Pho Chua Boc - Da Nang,An toan thong tin,Truong CNTT&TT,Dang hoc,2025,2.44,39,Tran Thi B
20256240,Nguyen Tuan Yen,CNPM02-K67,11/08/2006,Bac Ninh,Nam,Danh gia nang luc,29.2,20256240@sis.hust.edu.vn,0940332332,So 7 Pho Chua Boc - Bac Ninh,An toan thong tin,Truong CNTT&TT,Dang hoc,2024,1.34,108,Hoang Duc E
20256241,Tran Duy Linh,KHMT01-K67,18/12/2006,Quang Nam,Nu,Hoc ba,22.9,20256241@sis.hust.edu.vn,0933012521,So 137 Pho Chua Boc - Quang Nam,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2024,2.26,20,Nguyen Van A
20256242,Duong Quang Khoa,CNPM02-K67,10/02/2006,Thai Binh,Nam,Danh gia nang luc,22.5,20256242@sis.hust.edu.vn,0929518518,So 110 Pho Chua Boc - Thai Binh,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2024,2.79,40,Le Van C
20256243,Vu Duy Hanh,CNPM02-K67,03/11/2004,Nghe An,Nu,Tuyen thang,27.6,20256243@sis.hust.edu.vn,0982120912,So 137 Pho Chua Boc - Nghe An,Ky thuat may tinh,Khoa Dien tu,Dang hoc,2022,1.99,37,Tran Thi B
20256244,Phan Quang Dong,KHMT01-K67,15/02/2007,Nam Dinh,Nam,Tuyen thang,27.8,20256244@sis.hust.edu.vn,0950952412,So 100 Pho Chua Boc - Nam Dinh,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2025,2.55,77,Hoang Duc E
20256245,Vu Thanh Cuong,CNPM02-K67,02/01/2006,Nghe An,Nu,Tuyen thang,25,20256245@sis.hust.edu.vn,0974685757,So 73 Pho Chua Boc - Nghe An,An toan thong tin,Truong CNTT&TT,Bao luu,2024,2.28,93,Tran Thi B
20256246,Vu Duc Mai,KHMT02-K68,23/12/2004,TP HCM,Nu,Hoc ba,22.5,20256246@sis.hust.edu.vn,0980247774,So 81 Pho Chua Boc - TP HCM,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2022,3.02,6,Hoang Duc E
20256247,Ngo Thi Oanh,CTTT02-K68,19/12/2006,Nam Dinh,Nu,Danh gia nang luc,25,20256247@sis.hust.edu.vn,0960612580,So 148 Pho Chua Boc - Nam Dinh,Ky thuat may tinh,Khoa Dien tu,Dang hoc,2024,2.51,51,Tran Thi B
20256248,Tran Quoc Long,CNPM02-K67,19/10/2004,Hai Phong,Nu,Hoc ba,20.4,20256248@sis.hust.edu.vn,0964812439,So 5 Pho Chua Boc - Hai Phong,He thong thong tin,Truong CNTT&TT,Canh cao,2022,1.14,0,Tran Thi B
20256249,Bui Quoc Khoa,DTVT01-K68,02/06/2005,Thanh Hoa,Nu,Tuyen thang,22.5,20256249@sis.hust.edu.vn,0997172511,So 84 Pho Chua Boc - Thanh Hoa,Dien tu vien thong,Khoa Vien thong,Canh cao,2023,2.2,71,Le Van C
20256250,Vu Tuan Cuong,CNPM02-K67,01/11/2006,Can Tho,Nu,Tuyen thang,26.7,20256250@sis.hust.edu.vn,0976459193,So 117 Pho Chua Boc - Can Tho,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2024,2.76,141,Pham Minh D
20256251,Le Thanh Oanh,CNPM02-K67,02/08/2004,Thai Binh,Nu,Diem thi THPT,21.7,20256251@sis.hust.edu.vn,0956849774,So 60 Pho Chua Boc - Thai Binh,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2022,2.21,127,Pham Minh D
20256252,Dang Hai Hai,CNPM02-K67,25/11/2005,TP HCM,Nu,Danh gia nang luc,22.2,20256252@sis.hust.edu.vn,0932531041,So 149 Pho Chua Boc - TP HCM,Dien tu vien thong,Khoa Vien thong,Bao luu,2023,1.89,132,Tran Thi B
20256253,Nguyen Quoc Long,CNPM02-K67,18/03/2006,Ha Noi,Nu,Tuyen thang,26.1,20256253@sis.hust.edu.vn,0954718075,So 110 Pho Chua Boc - Ha Noi,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2024,1.94,109,Nguyen Van A
20256254,Hoang Quang Hai,CNPM01-K68,15/04/2007,Ha Tinh,Nu,Tuyen thang,25.5,20256254@sis.hust.edu.vn,0948549752,So 143 Pho Chua Boc - Ha Tinh,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2025,3.1,149,Nguyen Van A
20256255,Do Thi Son,CNPM02-K67,01/06/2007,Can Tho,Nu,Danh gia nang luc,27.4,20256255@sis.hust.edu.vn,0968630151,So 23 Pho Chua Boc - Can Tho,Khoa hoc may tinh,Truong CNTT&TT,Canh cao,2025,2.2,68,Hoang Duc E
20256256,Pham Van Vy,HTTT01-K68,09/10/2004,Ha Tinh,Nam,Danh gia nang luc,28.7,20256256@sis.hust.edu.vn,0942520241,So 56 Pho Chua Boc - Ha Tinh,He thong thong tin,Truong CNTT&TT,Bao luu,2022,2.51,40,Nguyen Van A
20256257,Pham Tuan Cuong,KHMT01-K67,09/08/2006,Ha Noi,Nam,Diem thi THPT,22.9,20256257@sis.hust.edu.vn,0942147300,So 57 Pho Chua Boc - Ha Noi,He thong thong tin,Truong CNTT&TT,Dang hoc,2024,2.69,149,Tran Thi B
20256258,Le Xuan Vy,CNPM01-K68,01/03/2004,Thai Binh,Nu,Tuyen thang,24.5,20256258@sis.hust.edu.vn,0960218213,So 76 Pho Chua Boc - Thai Binh,An toan thong tin,Truong CNTT&TT,Canh cao,2022,3.98,58,Nguyen Van A
20256259,Le Ngoc Son,DTVT01-K68,07/08/2007,Quang Nam,Nu,Tuyen thang,23.8,20256259@sis.hust.edu.vn,0947245176,So 72 Pho Chua Boc - Quang Nam,Ky thuat may tinh,Khoa Dien tu,Dang hoc,2025,1.29,100,Pham Minh D
20256260,Hoang Quang Hanh,KHMT02-K68,14/09/2006,Quang Nam,Nam,Tuyen thang,29.9,20256260@sis.hust.edu.vn,0934722416,So 119 Pho Chua Boc - Quang Nam,An toan thong tin,Truong CNTT&TT,Canh cao,2024,1.88,89,Tran Thi B
20256261,Do Hai Mai,KHMT01-K67,07/06/2005,Hue,Nu,Tuyen thang,25.1,20256261@sis.hust.edu.vn,0971218087,So 75 Pho Chua Boc - Hue,Ky thuat may tinh,Khoa Dien tu,Canh cao,2023,3.36,18,Pham Minh D
20256262,Le Van Son,KHMT02-K68,09/04/2004,Nam Dinh,Nu,Diem thi THPT,29.3,20256262@sis.hust.edu.vn,0980576087,So 103 Pho Chua Boc - Nam Dinh,He thong thong tin,Truong CNTT&TT,Dang hoc,2022,2.07,85,Tran Thi B
20256263,Dang Quoc Hanh,KHMT02-K68,05/08/2005,Hue,Nu,Diem thi THPT,29.6,20256263@sis.hust.edu.vn,0950640680,So 121 Pho Chua Boc - Hue,Ky thuat may tinh,Khoa Dien tu,Dang hoc,2023,3.45,50,Pham Minh D
20256264,Bui Xuan Oanh,DTVT01-K68,01/03/2005,Nghe An,Nam,Hoc ba,26.6,20256264@sis.hust.edu.vn,0913831420,So 26 Pho Chua Boc - Nghe An,Ky thuat may tinh,Khoa Dien tu,Bao luu,2023,1.16,95,Pham Minh D
20256265,Do Huu Vy,HTTT01-K68,25/11/2005,TP HCM,Nam,Hoc ba,25.9,20256265@sis.hust.edu.vn,0983843418,So 13 Pho Chua Boc - TP HCM,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2023,2.17,13,Nguyen Van A
20256266,Nguyen Ngoc Hai,CNPM01-K68,07/11/2006,Da Nang,Nu,Diem thi THPT,29.9,20256266@sis.hust.edu.vn,0985511084,So 141 Pho Chua Boc - Da Nang,Ky thuat may tinh,Khoa Dien tu,Dang hoc,2024,2.93,97,Le Van C
20256267,Vu Thi Yen,DTVT01-K68,20/05/2005,Bac Ninh,Nu,Diem thi THPT,22.9,20256267@sis.hust.edu.vn,0951843507,So 132 Pho Chua Boc - Bac Ninh,Dien tu vien thong,Khoa Vien thong,Dang hoc,2023,3.7,90,Nguyen Van A
20256268,Do Quang Binh,ATTT03-K68,12/09/2004,Bac Ninh,Nam,Hoc ba,25.5,20256268@sis.hust.edu.vn,0950583101,So 98 Pho Chua Boc - Bac Ninh,Dien tu vien thong,Khoa Vien thong,Dang hoc,2022,2.91,82,Tran Thi B
20256269,Duong Duy Yen,CNPM01-K68,25/03/2007,Hue,Nu,Tuyen thang,29.5,20256269@sis.hust.edu.vn,0911524507,So 4 Pho Chua Boc - Hue,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2025,3.23,46,Nguyen Van A
20256270,Hoang Duc Phong,HTTT01-K68,17/08/2004,Bac Ninh,Nu,Danh gia nang luc,29.2,20256270@sis.hust.edu.vn,0930460992,So 74 Pho Chua Boc - Bac Ninh,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2022,3.38,66,Hoang Duc E
20256271,Do Thi Anh,ATTT03-K68,14/07/2005,TP HCM,Nu,Danh gia nang luc,24.2,20256271@sis.hust.edu.vn,0971169668,So 99 Pho Chua Boc - TP HCM,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2023,1.01,6,Pham Minh D
20256272,Ngo Duy Tuan,CNPM01-K68,04/08/2007,Nam Dinh,Nam,Tuyen thang,28.1,20256272@sis.hust.edu.vn,0964056284,So 59 Pho Chua Boc - Nam Dinh,An toan thong tin,Truong CNTT&TT,Dang hoc,2025,1.93,97,Hoang Duc E
20256273,Le Quang Vy,CTTT02-K68,21/08/2007,Thai Binh,Nu,Diem thi THPT,27.5,20256273@sis.hust.edu.vn,0997728182,So 38 Pho Chua Boc - Thai Binh,He thong thong tin,Truong CNTT&TT,Dang hoc,2025,2.2,0,Hoang Duc E
20256274,Hoang Ngoc Oanh,ATTT03-K68,04/01/2007,Quang Nam,Nu,Hoc ba,27.7,20256274@sis.hust.edu.vn,0976611151,So 109 Pho Chua Boc - Quang Nam,Ky thuat may tinh,Khoa Dien tu,Dang hoc,2025,1.25,97,Pham Minh D
20256275,Hoang Thi Cuong,HTTT01-K68,17/11/2007,Ha Noi,Nu,Tuyen thang,21.9,20256275@sis.hust.edu.vn,0953316366,So 109 Pho Chua Boc - Ha Noi,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2025,1.74,49,Tran Thi B
20256276,Duong Thi Phuc,KHMT01-K67,03/03/2006,Quang Ninh,Nu,Diem thi THPT,23.1,20256276@sis.hust.edu.vn,0976319576,So 140 Pho Chua Boc - Quang Ninh,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2024,2.42,122,Le Van C
20256277,Dang Van Long,KHMT01-K67,06/06/2007,TP HCM,Nam,Hoc ba,27.8,20256277@sis.hust.edu.vn,0966687524,So 30 Pho Chua Boc - TP HCM,Cong nghe thong tin,Truong CNTT&TT,Canh cao,2025,1.03,25,Tran Thi B
20256278,Ngo Xuan Hai,DTVT01-K68,07/04/2006,Ha Noi,Nam,Danh gia nang luc,27.4,20256278@sis.hust.edu.vn,0985336570,So 118 Pho Chua Boc - Ha Noi,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2024,2.88,148,Tran Thi B
20256279,Phan Huu Khoa,HTTT01-K68,02/02/2007,Ha Tinh,Nam,Hoc ba,25.5,20256279@sis.hust.edu.vn,0919883609,So 22 Pho Chua Boc - Ha Tinh,Ky thuat may tinh,Khoa Dien tu,Dang hoc,2025,1.3,77,Pham Minh D
20256280,Phan Quoc Hai,CNPM02-K67,21/07/2007,Da Nang,Nu,Tuyen thang,29.4,20256280@sis.hust.edu.vn,0917174888,So 102 Pho Chua Boc - Da Nang,An toan thong tin,Truong CNTT&TT,Dang hoc,2025,2.25,138,Nguyen Van A
20256281,Ho Quoc Huy,ATTT03-K68,12/06/2004,Hai Phong,Nam,Hoc ba,24.2,20256281@sis.hust.edu.vn,0986885044,So 144 Pho Chua Boc - Hai Phong,Dien tu vien thong,Khoa Vien thong,Dang hoc,2022,3.29,90,Nguyen Van A
20256282,Dang Quoc Phong,ATTT03-K68,26/11/2005,Hai Phong,Nam,Hoc ba,22.3,20256282@sis.hust.edu.vn,0935078502,So 53 Pho Chua Boc - Hai Phong,He thong thong tin,Truong CNTT&TT,Canh cao,2023,2.91,144,Tran Thi B
20256283,Hoang Van Son,CNPM02-K67,21/01/2005,Thai Nguyen,Nam,Diem thi THPT,29.2,20256283@sis.hust.edu.vn,0944945270,So 92 Pho Chua Boc - Thai Nguyen,Ky thuat may tinh,Khoa Dien tu,Bao luu,2023,3.99,96,Nguyen Van A
20256284,Do Hai Yen,CTTT02-K68,03/08/2007,Thanh Hoa,Nu,Hoc ba,21.6,20256284@sis.hust.edu.vn,0977259676,So 98 Pho Chua Boc - Thanh Hoa,Dien tu vien thong,Khoa Vien thong,Dang hoc,2025,3.27,58,Le Van C
20256285,Ngo Quang Dung,KHMT01-K67,08/01/2004,Ha Noi,Nam,Hoc ba,22.8,20256285@sis.hust.edu.vn,0920243971,So 89 Pho Chua Boc - Ha Noi,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2022,3.4,69,Tran Thi B
20256286,Tran Duy Hung,DTVT01-K68,16/10/2005,Quang Nam,Nam,Hoc ba,20.6,20256286@sis.hust.edu.vn,0979390930,So 40 Pho Chua Boc - Quang Nam,Khoa hoc may tinh,Truong CNTT&TT,Bao luu,2023,2.95,137,Pham Minh D
20256287,Do Duc Hung,CTTT02-K68,20/07/2006,Thanh Hoa,Nu,Tuyen thang,29.7,20256287@sis.hust.edu.vn,0925328922,So 5 Pho Chua Boc - Thanh Hoa,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2024,3.38,59,Hoang Duc E
20256288,Tran Minh Long,CNPM02-K67,06/04/2006,Thanh Hoa,Nam,Hoc ba,21.8,20256288@sis.hust.edu.vn,0998813424,So 55 Pho Chua Boc - Thanh Hoa,An toan thong tin,Truong CNTT&TT,Dang hoc,2024,1.66,26,Hoang Duc E
20256289,Phan Duy Binh,CNPM01-K68,09/07/2007,Thai Nguyen,Nu,Diem thi THPT,25.7,20256289@sis.hust.edu.vn,0950046393,So 84 Pho Chua Boc - Thai Nguyen,An toan thong tin,Truong CNTT&TT,Canh cao,2025,3.19,117,Nguyen Van A
20256290,Dang Hai Khoa,KHMT01-K67,16/05/2007,Hai Phong,Nam,Danh gia nang luc,23,20256290@sis.hust.edu.vn,0960083270,So 140 Pho Chua Boc - Hai Phong,Ky thuat may tinh,Khoa Dien tu,Dang hoc,2025,1.02,136,Le Van C
20256291,Vu Thi Anh,CNPM01-K68,13/12/2005,Can Tho,Nu,Diem thi THPT,20.9,20256291@sis.hust.edu.vn,0924174213,So 47 Pho Chua Boc - Can Tho,Khoa hoc may tinh,Truong CNTT&TT,Bao luu,2023,2.5,105,Pham Minh D
20256292,Do Xuan Quan,HTTT01-K68,09/08/2007,Ha Noi,Nu,Danh gia nang luc,21.4,20256292@sis.hust.edu.vn,0921775297,So 51 Pho Chua Boc - Ha Noi,Dien tu vien thong,Khoa Vien thong,Dang hoc,2025,2.5,63,Hoang Duc E
20256293,Le Huu Hung,KHMT01-K67,10/05/2004,TP HCM,Nam,Diem thi THPT,22.2,20256293@sis.hust.edu.vn,0948151760,So 64 Pho Chua Boc - TP HCM,An toan thong tin,Truong CNTT&TT,Canh cao,2022,3.01,2,Pham Minh D
20256294,Vu Thi Long,KHMT01-K67,20/10/2004,Ha Tinh,Nu,Tuyen thang,20.5,20256294@sis.hust.edu.vn,0982216048,So 132 Pho Chua Boc - Ha Tinh,He thong thong tin,Truong CNTT&TT,Dang hoc,2022,3.51,58,Le Van C
20256295,Ngo Quang Phuong,CNPM01-K68,08/08/2005,Da Nang,Nu,Danh gia nang luc,28.9,20256295@sis.hust.edu.vn,0910220826,So 101 Pho Chua Boc - Da Nang,An toan thong tin,Truong CNTT&TT,Dang hoc,2023,2.51,27,Tran Thi B
20256296,Ho Ngoc Cuong,HTTT01-K68,05/12/2004,Quang Ninh,Nu,Danh gia nang luc,20.5,20256296@sis.hust.edu.vn,0923335362,So 69 Pho Chua Boc - Quang Ninh,Dien tu vien thong,Khoa Vien thong,Dang hoc,2022,1.07,22,Hoang Duc E
20256297,Do Ngoc Viet,CTTT02-K68,09/08/2004,Hue,Nam,Diem thi THPT,25.5,20256297@sis.hust.edu.vn,0916280597,So 127 Pho Chua Boc - Hue,Cong nghe thong tin,Truong CNTT&TT,Dang hoc,2022,1.29,46,Tran Thi B
20256298,Hoang Anh Long,CTTT02-K68,18/11/2007,Can Tho,Nam,Hoc ba,27.3,20256298@sis.hust.edu.vn,0990713410,So 68 Pho Chua Boc - Can Tho,An toan thong tin,Truong CNTT&TT,Canh cao,2025,1.21,44,Le Van C
20256299,Pham Duy Dung,DTVT01-K68,11/08/2004,Hue,Nu,Hoc ba,21.9,20256299@sis.hust.edu.vn,0943994519,So 5 Pho Chua Boc - Hue,He thong thong tin,Truong CNTT&TT,Dang hoc,2022,2.37,31,Nguyen Van A
20256300,Ly Van Linh,KHMT01-K67,12/04/2005,Nghe An,Nu,Diem thi THPT,22.1,20256300@sis.hust.edu.vn,0984258955,So 141 Pho Chua Boc - Nghe An,He thong thong tin,Truong CNTT&TT,Dang hoc,2023,2.51,27,Tran Thi B
